2022-04-27 22:51:10 INFO     Sleep 1
2022-04-27 22:51:11 INFO     Activate Zodac
2022-04-27 22:51:11 INFO     Sleep 60
2022-04-27 22:52:12 INFO     Click Boss
2022-04-27 22:52:13 INFO     Tap Attack 2
2022-04-27 22:54:13 INFO     Activate Rio Blast
2022-04-27 22:54:15 INFO     Swipe to Fourth Set
2022-04-27 22:55:04 INFO     Click Boss
2022-04-27 22:56:40 INFO     Click Mekaneck
2022-04-27 23:00:15 INFO     Click He-Man
2022-04-27 23:02:07 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-27 23:03:07 INFO     START
2022-04-27 23:03:07 INFO     2022-04-27 23:03:07.890728
2022-04-27 23:03:31 INFO     Click First Boss
2022-04-27 23:03:56 INFO     Reload Game
2022-04-27 23:04:25 INFO     START
2022-04-27 23:04:25 INFO     2022-04-27 23:04:25.200113
2022-04-27 23:04:48 INFO     Click First Boss
2022-04-27 23:05:17 INFO     Scroll to Second Set
2022-04-27 23:05:40 INFO     Third Set
2022-04-27 23:06:13 INFO     Swipe Attack 1
2022-04-27 23:13:12 INFO     Sleep 1
2022-04-27 23:13:13 INFO     Activate Zodac
2022-04-27 23:13:13 INFO     Sleep 60
2022-04-27 23:14:14 INFO     Click Boss
2022-04-27 23:14:15 INFO     Tap Attack 2
2022-04-27 23:16:15 INFO     Activate Rio Blast
2022-04-27 23:16:17 INFO     Swipe to Fourth Set
2022-04-27 23:20:24 INFO     Click Boss
2022-04-27 23:21:59 INFO     Click Mekaneck
2022-04-27 23:25:35 INFO     Click He-Man
2022-04-27 23:27:27 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-27 23:33:30 INFO     START
2022-04-27 23:33:30 INFO     2022-04-27 23:33:30.735799
2022-04-27 23:33:54 INFO     Click First Boss
2022-04-27 23:34:23 INFO     Scroll to Second Set
2022-04-27 23:34:45 INFO     Third Set
2022-04-27 23:35:00 INFO     Swipe Attack 1
2022-04-27 23:41:59 INFO     Sleep 1
2022-04-27 23:42:00 INFO     Activate Zodac
2022-04-27 23:42:01 INFO     Sleep 60
2022-04-27 23:43:01 INFO     Click Boss
2022-04-27 23:43:02 INFO     Tap Attack 2
2022-04-27 23:45:03 INFO     Activate Rio Blast
2022-04-27 23:45:05 INFO     Swipe to Fourth Set
2022-04-27 23:45:10 INFO     Click Boss
2022-04-27 23:46:45 INFO     Click Mekaneck
2022-04-27 23:50:21 INFO     Click He-Man
2022-04-27 23:52:13 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-27 23:58:16 INFO     START
2022-04-27 23:58:16 INFO     2022-04-27 23:58:16.272836
2022-04-27 23:58:40 INFO     Click First Boss
2022-04-27 23:59:09 INFO     Scroll to Second Set
2022-04-27 23:59:31 INFO     Third Set
2022-04-28 00:01:33 INFO     Swipe Attack 1
2022-04-28 00:08:31 INFO     Sleep 1
2022-04-28 00:08:33 INFO     Activate Zodac
2022-04-28 00:08:33 INFO     Sleep 60
2022-04-28 00:09:34 INFO     Click Boss
2022-04-28 00:09:35 INFO     Tap Attack 2
2022-04-28 00:11:35 INFO     Activate Rio Blast
2022-04-28 00:11:36 INFO     Swipe to Fourth Set
2022-04-28 00:15:21 INFO     Click Boss
2022-04-28 00:16:57 INFO     Click Mekaneck
2022-04-28 00:20:32 INFO     Click He-Man
2022-04-28 00:22:24 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 00:28:43 INFO     START
2022-04-28 00:28:43 INFO     2022-04-28 00:28:43.760945
2022-04-28 00:29:07 INFO     Click First Boss
2022-04-28 00:29:36 INFO     Scroll to Second Set
2022-04-28 00:29:58 INFO     Third Set
2022-04-28 00:30:13 INFO     Swipe Attack 1
2022-04-28 00:37:12 INFO     Sleep 1
2022-04-28 00:37:13 INFO     Activate Zodac
2022-04-28 00:37:13 INFO     Sleep 60
2022-04-28 00:38:14 INFO     Click Boss
2022-04-28 00:38:15 INFO     Tap Attack 2
2022-04-28 00:40:16 INFO     Activate Rio Blast
2022-04-28 00:40:18 INFO     Swipe to Fourth Set
2022-04-28 00:41:07 INFO     Click Boss
2022-04-28 00:42:42 INFO     Click Mekaneck
2022-04-28 00:46:18 INFO     Click He-Man
2022-04-28 00:48:10 INFO     Upgrade Rio Blast, Mekaneck, He-Man
2022-04-28 00:49:10 INFO     START
2022-04-28 00:49:10 INFO     2022-04-28 00:49:10.313596
2022-04-28 00:49:34 INFO     Click First Boss
2022-04-28 00:50:03 INFO     Scroll to Second Set
2022-04-28 00:50:26 INFO     Third Set
2022-04-28 00:50:41 INFO     Swipe Attack 1
2022-04-28 00:57:40 INFO     Sleep 1
2022-04-28 00:57:41 INFO     Activate Zodac
2022-04-28 00:57:41 INFO     Sleep 60
2022-04-28 00:58:42 INFO     Click Boss
2022-04-28 00:58:43 INFO     Tap Attack 2
2022-04-28 01:00:43 INFO     Activate Rio Blast
2022-04-28 01:00:45 INFO     Swipe to Fourth Set
2022-04-28 01:03:02 INFO     Click Boss
2022-04-28 01:04:37 INFO     Click Mekaneck
2022-04-28 01:08:10 INFO     Injury Time Travel
2022-04-28 01:08:21 INFO     START
